,City,State ,Region,CRI,Year,Spending Type,Dollar Amount,Category,Total Spending
38,Mesa,Arizona,Southwest,-0.57,2019,Housing,1620678,Health and Support,219905358
39,Mesa,Arizona,Southwest,-0.57,2019,Employment,7785403,Health and Support,219905358
40,Mesa,Arizona,Southwest,-0.57,2019,Civic and Community Engagement,2880915,Health and Support,219905358
41,Mesa,Arizona,Southwest,-0.57,2019,Arts and Culture,0,Health and Support,219905358
42,Mesa,Arizona,Southwest,-0.57,2020,Police,167987372,Carceral,228434457
43,Mesa,Arizona,Southwest,-0.57,2020,Courts,8144428,Carceral,228434457
44,Mesa,Arizona,Southwest,-0.57,2020,Public Defenders,0,Carceral,228434457
45,Mesa,Arizona,Southwest,-0.57,2020,Prosecutors,3587857,Carceral,228434457
46,Mesa,Arizona,Southwest,-0.57,2020,Community Supervision ,0,Carceral,228434457
47,Mesa,Arizona,Southwest,-0.57,2020,Sheriff,0,Carceral,228434457
48,Mesa,Arizona,Southwest,-0.57,2020,Corrections,0,Carceral,228434457
49,Mesa,Arizona,Southwest,-0.57,2020,HHS,0,Health and Support,228434457
50,Mesa,Arizona,Southwest,-0.57,2020,Public Health,0,Health and Support,228434457
51,Mesa,Arizona,Southwest,-0.57,2020,Parks & Rec,37222388,Health and Support,228434457
52,Mesa,Arizona,Southwest,-0.57,2020,Housing,1624186,Health and Support,228434457
53,Mesa,Arizona,Southwest,-0.57,2020,Employment,7669656,Health and Support,228434457
54,Mesa,Arizona,Southwest,-0.57,2020,Civic and Community Engagement,2198570,Health and Support,228434457
55,Mesa,Arizona,Southwest,-0.57,2020,Arts and Culture,0,Health and Support,228434457
56,Phoenix,Arizona,Southwest,-0.6,2017,Police,498786000,Carceral,665508000
57,Phoenix,Arizona,Southwest,-0.6,2017,Courts,28112000,Carceral,665508000
58,Phoenix,Arizona,Southwest,-0.6,2017,Public Defenders,5094000,Carceral,665508000
59,Phoenix,Arizona,Southwest,-0.6,2017,Prosecutors,0,Carceral,665508000
60,Phoenix,Arizona,Southwest,-0.6,2017,Community Supervision ,0,Carceral,665508000
61,Phoenix,Arizona,Southwest,-0.6,2017,Sheriff,0,Carceral,665508000
62,Phoenix,Arizona,Southwest,-0.6,2017,Corrections,0,Carceral,665508000
63,Phoenix,Arizona,Southwest,-0.6,2017,HHS,18511000,Health and Support,665508000
64,Phoenix,Arizona,Southwest,-0.6,2017,Public Health,0,Health and Support,665508000
65,Phoenix,Arizona,Southwest,-0.6,2017,Parks & Rec,91391000,Health and Support,665508000
66,Phoenix,Arizona,Southwest,-0.6,2017,Housing,55000,Health and Support,665508000
67,Phoenix,Arizona,Southwest,-0.6,2017,Employment,18452000,Health and Support,665508000
68,Phoenix,Arizona,Southwest,-0.6,2017,Civic and Community Engagement,1106000,Health and Support,665508000
69,Phoenix,Arizona,Southwest,-0.6,2017,Arts and Culture,4001000,Health and Support,665508000
70,Phoenix,Arizona,Southwest,-0.63,2018,Police,548803178,Carceral,715712537
71,Phoenix,Arizona,Southwest,-0.63,2018,Courts,29241160,Carceral,715712537
72,Phoenix,Arizona,Southwest,-0.63,2018,Public Defenders,5080998,Carceral,715712537
73,Phoenix,Arizona,Southwest,-0.63,2018,Prosecutors,0,Carceral,715712537
74,Phoenix,Arizona,Southwest,-0.63,2018,Community Supervision ,0,Carceral,715712537
75,Phoenix,Arizona,Southwest,-0.63,2018,Sheriff,0,Carceral,715712537
76,Phoenix,Arizona,Southwest,-0.63,2018,Corrections,0,Carceral,715712537
77,Phoenix,Arizona,Southwest,-0.63,2018,HHS,19140709,Health and Support,715712537
78,Phoenix,Arizona,Southwest,-0.63,2018,Public Health,0,Health and Support,715712537
79,Phoenix,Arizona,Southwest,-0.63,2018,Parks & Rec,90983695,Health and Support,715712537
80,Phoenix,Arizona,Southwest,-0.63,2018,Housing,54000,Health and Support,715712537
81,Phoenix,Arizona,Southwest,-0.63,2018,Employment,17992501,Health and Support,715712537
82,Phoenix,Arizona,Southwest,-0.63,2018,Civic and Community Engagement,112389,Health and Support,715712537
83,Phoenix,Arizona,Southwest,-0.63,2018,Arts and Culture,4303907,Health and Support,715712537
84,Phoenix,Arizona,Southwest,-0.61,2019,Police,546206862,Carceral,723027955
85,Phoenix,Arizona,Southwest,-0.61,2019,Courts,29718548,Carceral,723027955
86,Phoenix,Arizona,Southwest,-0.61,2019,Public Defenders,5028321,Carceral,723027955
87,Phoenix,Arizona,Southwest,-0.61,2019,Prosecutors,0,Carceral,723027955
88,Phoenix,Arizona,Southwest,-0.61,2019,Community Supervision ,0,Carceral,723027955
89,Phoenix,Arizona,Southwest,-0.61,2019,Sheriff,0,Carceral,723027955
90,Phoenix,Arizona,Southwest,-0.61,2019,Corrections,0,Carceral,723027955
91,Phoenix,Arizona,Southwest,-0.61,2019,HHS,19245222,Health and Support,723027955
92,Phoenix,Arizona,Southwest,-0.61,2019,Public Health,0,Health and Support,723027955
93,Phoenix,Arizona,Southwest,-0.61,2019,Parks & Rec,93382663,Health and Support,723027955
94,Phoenix,Arizona,Southwest,-0.61,2019,Housing,54000,Health and Support,723027955
95,Phoenix,Arizona,Southwest,-0.61,2019,Employment,18704490,Health and Support,723027955
96,Phoenix,Arizona,Southwest,-0.61,2019,Civic and Community Engagement,2168955,Health and Support,723027955
97,Phoenix,Arizona,Southwest,-0.61,2019,Arts and Culture,8518894,Health and Support,723027955
98,Phoenix,Arizona,Southwest,-0.6,2020,Police,566452076,Carceral,751826096
99,Phoenix,Arizona,Southwest,-0.6,2020,Courts,31375769,Carceral,751826096
100,Phoenix,Arizona,Southwest,-0.6,2020,Public Defenders,5289134,Carceral,751826096
101,Phoenix,Arizona,Southwest,-0.6,2020,Prosecutors,0,Carceral,751826096
102,Phoenix,Arizona,Southwest,-0.6,2020,Community Supervision ,0,Carceral,751826096
103,Phoenix,Arizona,Southwest,-0.6,2020,Sheriff,0,Carceral,751826096
104,Phoenix,Arizona,Southwest,-0.6,2020,Corrections,0,Carceral,751826096
105,Phoenix,Arizona,Southwest,-0.6,2020,HHS,20157101,Health and Support,751826096
106,Phoenix,Arizona,Southwest,-0.6,2020,Public Health,0,Health and Support,751826096
107,Phoenix,Arizona,Southwest,-0.6,2020,Parks & Rec,101457562,Health and Support,751826096
108,Phoenix,Arizona,Southwest,-0.6,2020,Housing,178824,Health and Support,751826096
109,Phoenix,Arizona,Southwest,-0.6,2020,Employment,20391246,Health and Support,751826096
110,Phoenix,Arizona,Southwest,-0.6,2020,Civic and Community Engagement,2357154,Health and Support,751826096
111,Phoenix,Arizona,Southwest,-0.6,2020,Arts and Culture,4167230,Health and Support,751826096
112,Tucson,Arizona,Southwest,-0.66,2017,Police,148898070,Carceral,199810640
113,Tucson,Arizona,Southwest,-0.66,2017,Courts,9380940,Carceral,199810640
114,Tucson,Arizona,Southwest,-0.66,2017,Public Defenders,2700840,Carceral,199810640
115,Tucson,Arizona,Southwest,-0.66,2017,Prosecutors,4938670,Carceral,199810640
116,Tucson,Arizona,Southwest,-0.66,2017,Community Supervision ,0,Carceral,199810640
117,Tucson,Arizona,Southwest,-0.66,2017,Sheriff,0,Carceral,199810640
118,Tucson,Arizona,Southwest,-0.66,2017,Corrections,0,Carceral,199810640
119,Tucson,Arizona,Southwest,-0.66,2017,HHS,0,Health and Support,199810640
120,Tucson,Arizona,Southwest,-0.66,2017,Public Health,0,Health and Support,199810640
121,Tucson,Arizona,Southwest,-0.66,2017,Parks & Rec,25696960,Health and Support,199810640
122,Tucson,Arizona,Southwest,-0.66,2017,Housing,2553900,Health and Support,199810640
123,Tucson,Arizona,Southwest,-0.66,2017,Employment,3940740,Health and Support,199810640
124,Tucson,Arizona,Southwest,-0.66,2017,Civic and Community Engagement,1649800,Health and Support,199810640
125,Tucson,Arizona,Southwest,-0.66,2017,Arts and Culture,50720,Health and Support,199810640
126,Tucson,Arizona,Southwest,-0.68,2018,Police,161110890,Carceral,212572002
127,Tucson,Arizona,Southwest,-0.68,2018,Courts,9450970,Carceral,212572002
128,Tucson,Arizona,Southwest,-0.68,2018,Public Defenders,2696930,Carceral,212572002
129,Tucson,Arizona,Southwest,-0.68,2018,Prosecutors,4819998,Carceral,212572002
130,Tucson,Arizona,Southwest,-0.68,2018,Community Supervision ,0,Carceral,212572002
131,Tucson,Arizona,Southwest,-0.68,2018,Sheriff,0,Carceral,212572002
132,Tucson,Arizona,Southwest,-0.68,2018,Corrections,0,Carceral,212572002
133,Tucson,Arizona,Southwest,-0.68,2018,HHS,0,Health and Support,212572002
134,Tucson,Arizona,Southwest,-0.68,2018,Public Health,0,Health and Support,212572002
135,Tucson,Arizona,Southwest,-0.68,2018,Parks & Rec,26525994,Health and Support,212572002
136,Tucson,Arizona,Southwest,-0.68,2018,Housing,2608080,Health and Support,212572002
137,Tucson,Arizona,Southwest,-0.68,2018,Employment,4060030,Health and Support,212572002
138,Tucson,Arizona,Southwest,-0.68,2018,Civic and Community Engagement,1260595,Health and Support,212572002
139,Tucson,Arizona,Southwest,-0.68,2018,Arts and Culture,38515,Health and Support,212572002
140,Tucson,Arizona,Southwest,-0.68,2019,Police,155725880,Carceral,206081100
141,Tucson,Arizona,Southwest,-0.68,2019,Courts,9658720,Carceral,206081100
142,Tucson,Arizona,Southwest,-0.68,2019,Public Defenders,2758440,Carceral,206081100
143,Tucson,Arizona,Southwest,-0.68,2019,Prosecutors,4819460,Carceral,206081100
144,Tucson,Arizona,Southwest,-0.68,2019,Community Supervision ,0,Carceral,206081100
145,Tucson,Arizona,Southwest,-0.68,2019,Sheriff,0,Carceral,206081100
146,Tucson,Arizona,Southwest,-0.68,2019,Corrections,0,Carceral,206081100
147,Tucson,Arizona,Southwest,-0.68,2019,HHS,0,Health and Support,206081100
148,Tucson,Arizona,Southwest,-0.68,2019,Public Health,0,Health and Support,206081100
149,Tucson,Arizona,Southwest,-0.68,2019,Parks & Rec,24161800,Health and Support,206081100
150,Tucson,Arizona,Southwest,-0.68,2019,Housing,2470720,Health and Support,206081100
151,Tucson,Arizona,Southwest,-0.68,2019,Employment,6105580,Health and Support,206081100
152,Tucson,Arizona,Southwest,-0.68,2019,Civic and Community Engagement,340380,Health and Support,206081100
153,Tucson,Arizona,Southwest,-0.68,2019,Arts and Culture,40120,Health and Support,206081100
154,Tucson,Arizona,Southwest,-0.68,2020,Police,164216240,Carceral,219133290
155,Tucson,Arizona,Southwest,-0.68,2020,Courts,11399930,Carceral,219133290
156,Tucson,Arizona,Southwest,-0.68,2020,Public Defenders,3155730,Carceral,219133290
157,Tucson,Arizona,Southwest,-0.68,2020,Prosecutors,5332650,Carceral,219133290
158,Tucson,Arizona,Southwest,-0.68,2020,Community Supervision ,0,Carceral,219133290
159,Tucson,Arizona,Southwest,-0.68,2020,Sheriff,0,Carceral,219133290
160,Tucson,Arizona,Southwest,-0.68,2020,Corrections,0,Carceral,219133290
161,Tucson,Arizona,Southwest,-0.68,2020,HHS,0,Health and Support,219133290
162,Tucson,Arizona,Southwest,-0.68,2020,Public Health,0,Health and Support,219133290
163,Tucson,Arizona,Southwest,-0.68,2020,Parks & Rec,25587520,Health and Support,219133290
164,Tucson,Arizona,Southwest,-0.68,2020,Housing,2705850,Health and Support,219133290
165,Tucson,Arizona,Southwest,-0.68,2020,Employment,6325640,Health and Support,219133290
166,Tucson,Arizona,Southwest,-0.68,2020,Civic and Community Engagement,369610,Health and Support,219133290
167,Tucson,Arizona,Southwest,-0.68,2020,Arts and Culture,40120,Health and Support,219133290
168,Bakersfield,California,Pacific,-0.62,2017,Police,84982665,Carceral,104859447
169,Bakersfield,California,Pacific,-0.62,2017,Courts,0,Carceral,104859447
170,Bakersfield,California,Pacific,-0.62,2017,Public Defenders,0,Carceral,104859447
171,Bakersfield,California,Pacific,-0.62,2017,Prosecutors,0,Carceral,104859447
172,Bakersfield,California,Pacific,-0.62,2017,Community Supervision ,0,Carceral,104859447
173,Bakersfield,California,Pacific,-0.62,2017,Sheriff,0,Carceral,104859447
174,Bakersfield,California,Pacific,-0.62,2017,Corrections,0,Carceral,104859447
175,Bakersfield,California,Pacific,-0.62,2017,HHS,0,Health and Support,104859447
176,Bakersfield,California,Pacific,-0.62,2017,Public Health,0,Health and Support,104859447
177,Bakersfield,California,Pacific,-0.62,2017,Parks & Rec,18522464,Health and Support,104859447
178,Bakersfield,California,Pacific,-0.62,2017,Housing,0,Health and Support,104859447
179,Bakersfield,California,Pacific,-0.62,2017,Employment,1321318,Health and Support,104859447
180,Bakersfield,California,Pacific,-0.62,2017,Civic and Community Engagement,0,Health and Support,104859447
181,Bakersfield,California,Pacific,-0.62,2017,Arts and Culture,33000,Health and Support,104859447
182,Bakersfield,California,Pacific,-0.62,2018,Police,85548923,Carceral,105902206
183,Bakersfield,California,Pacific,-0.62,2018,Courts,0,Carceral,105902206
184,Bakersfield,California,Pacific,-0.62,2018,Public Defenders,0,Carceral,105902206
185,Bakersfield,California,Pacific,-0.62,2018,Prosecutors,0,Carceral,105902206
186,Bakersfield,California,Pacific,-0.62,2018,Community Supervision ,0,Carceral,105902206
187,Bakersfield,California,Pacific,-0.62,2018,Sheriff,0,Carceral,105902206
188,Bakersfield,California,Pacific,-0.62,2018,Corrections,0,Carceral,105902206
189,Bakersfield,California,Pacific,-0.62,2018,HHS,0,Health and Support,105902206
190,Bakersfield,California,Pacific,-0.62,2018,Public Health,0,Health and Support,105902206
191,Bakersfield,California,Pacific,-0.62,2018,Parks & Rec,19030677,Health and Support,105902206
192,Bakersfield,California,Pacific,-0.62,2018,Housing,0,Health and Support,105902206
193,Bakersfield,California,Pacific,-0.62,2018,Employment,1285606,Health and Support,105902206
194,Bakersfield,California,Pacific,-0.62,2018,Civic and Community Engagement,0,Health and Support,105902206
195,Bakersfield,California,Pacific,-0.62,2018,Arts and Culture,37000,Health and Support,105902206
196,Bakersfield,California,Pacific,-0.61,2019,Police,90175653,Carceral,112288464
197,Bakersfield,California,Pacific,-0.61,2019,Courts,0,Carceral,112288464
198,Bakersfield,California,Pacific,-0.61,2019,Public Defenders,0,Carceral,112288464
199,Bakersfield,California,Pacific,-0.61,2019,Prosecutors,0,Carceral,112288464
200,Bakersfield,California,Pacific,-0.61,2019,Community Supervision ,0,Carceral,112288464
201,Bakersfield,California,Pacific,-0.61,2019,Sheriff,0,Carceral,112288464
202,Bakersfield,California,Pacific,-0.61,2019,Corrections,0,Carceral,112288464
203,Bakersfield,California,Pacific,-0.61,2019,HHS,0,Health and Support,112288464
204,Bakersfield,California,Pacific,-0.61,2019,Public Health,0,Health and Support,112288464
205,Bakersfield,California,Pacific,-0.61,2019,Parks & Rec,20727579,Health and Support,112288464
206,Bakersfield,California,Pacific,-0.61,2019,Housing,0,Health and Support,112288464
207,Bakersfield,California,Pacific,-0.61,2019,Employment,1348232,Health and Support,112288464
208,Bakersfield,California,Pacific,-0.61,2019,Civic and Community Engagement,0,Health and Support,112288464
209,Bakersfield,California,Pacific,-0.61,2019,Arts and Culture,37000,Health and Support,112288464
210,Bakersfield,California,Pacific,-0.6,2020,Police,96868598,Carceral,120728249
211,Bakersfield,California,Pacific,-0.6,2020,Courts,0,Carceral,120728249
212,Bakersfield,California,Pacific,-0.6,2020,Public Defenders,0,Carceral,120728249
213,Bakersfield,California,Pacific,-0.6,2020,Prosecutors,0,Carceral,120728249
214,Bakersfield,California,Pacific,-0.6,2020,Community Supervision ,0,Carceral,120728249
215,Bakersfield,California,Pacific,-0.6,2020,Sheriff,0,Carceral,120728249
216,Bakersfield,California,Pacific,-0.6,2020,Corrections,0,Carceral,120728249
217,Bakersfield,California,Pacific,-0.6,2020,HHS,0,Health and Support,120728249
218,Bakersfield,California,Pacific,-0.6,2020,Public Health,0,Health and Support,120728249
219,Bakersfield,California,Pacific,-0.6,2020,Parks & Rec,22376383,Health and Support,120728249
220,Bakersfield,California,Pacific,-0.6,2020,Housing,0,Health and Support,120728249
221,Bakersfield,California,Pacific,-0.6,2020,Employment,1383268,Health and Support,120728249
222,Bakersfield,California,Pacific,-0.6,2020,Civic and Community Engagement,0,Health and Support,120728249
223,Bakersfield,California,Pacific,-0.6,2020,Arts and Culture,100000,Health and Support,120728249
224,Fresno,California,Pacific,-0.84,2017,Police,156934800,Carceral,170864200
225,Fresno,California,Pacific,-0.84,2017,Courts,0,Carceral,170864200
226,Fresno,California,Pacific,-0.84,2017,Public Defenders,0,Carceral,170864200
227,Fresno,California,Pacific,-0.84,2017,Prosecutors,0,Carceral,170864200
228,Fresno,California,Pacific,-0.84,2017,Community Supervision ,0,Carceral,170864200
229,Fresno,California,Pacific,-0.84,2017,Sheriff,0,Carceral,170864200
230,Fresno,California,Pacific,-0.84,2017,Corrections,0,Carceral,170864200
231,Fresno,California,Pacific,-0.84,2017,HHS,0,Health and Support,170864200
232,Fresno,California,Pacific,-0.84,2017,Public Health,0,Health and Support,170864200
233,Fresno,California,Pacific,-0.84,2017,Parks & Rec,13929400,Health and Support,170864200
234,Fresno,California,Pacific,-0.84,2017,Housing,0,Health and Support,170864200
235,Fresno,California,Pacific,-0.84,2017,Employment,0,Health and Support,170864200
236,Fresno,California,Pacific,-0.84,2017,Civic and Community Engagement,0,Health and Support,170864200
237,Fresno,California,Pacific,-0.84,2017,Arts and Culture,0,Health and Support,170864200
238,Fresno,California,Pacific,-0.84,2018,Police,162381500,Carceral,176104700
239,Fresno,California,Pacific,-0.84,2018,Courts,0,Carceral,176104700
240,Fresno,California,Pacific,-0.84,2018,Public Defenders,0,Carceral,176104700
241,Fresno,California,Pacific,-0.84,2018,Prosecutors,0,Carceral,176104700
242,Fresno,California,Pacific,-0.84,2018,Community Supervision ,0,Carceral,176104700
243,Fresno,California,Pacific,-0.84,2018,Sheriff,0,Carceral,176104700
244,Fresno,California,Pacific,-0.84,2018,Corrections,0,Carceral,176104700
245,Fresno,California,Pacific,-0.84,2018,HHS,0,Health and Support,176104700
246,Fresno,California,Pacific,-0.84,2018,Public Health,0,Health and Support,176104700
247,Fresno,California,Pacific,-0.84,2018,Parks & Rec,13723200,Health and Support,176104700
248,Fresno,California,Pacific,-0.84,2018,Housing,0,Health and Support,176104700
249,Fresno,California,Pacific,-0.84,2018,Employment,0,Health and Support,176104700
250,Fresno,California,Pacific,-0.84,2018,Civic and Community Engagement,0,Health and Support,176104700
251,Fresno,California,Pacific,-0.84,2018,Arts and Culture,0,Health and Support,176104700
252,Fresno,California,Pacific,-0.81,2019,Police,164264900,Carceral,181346900
253,Fresno,California,Pacific,-0.81,2019,Courts,0,Carceral,181346900
254,Fresno,California,Pacific,-0.81,2019,Public Defenders,0,Carceral,181346900
255,Fresno,California,Pacific,-0.81,2019,Prosecutors,0,Carceral,181346900
256,Fresno,California,Pacific,-0.81,2019,Community Supervision ,0,Carceral,181346900
257,Fresno,California,Pacific,-0.81,2019,Sheriff,0,Carceral,181346900
258,Fresno,California,Pacific,-0.81,2019,Corrections,0,Carceral,181346900
259,Fresno,California,Pacific,-0.81,2019,HHS,0,Health and Support,181346900
260,Fresno,California,Pacific,-0.81,2019,Public Health,0,Health and Support,181346900
261,Fresno,California,Pacific,-0.81,2019,Parks & Rec,17082000,Health and Support,181346900
262,Fresno,California,Pacific,-0.81,2019,Housing,0,Health and Support,181346900
263,Fresno,California,Pacific,-0.81,2019,Employment,0,Health and Support,181346900
264,Fresno,California,Pacific,-0.81,2019,Civic and Community Engagement,0,Health and Support,181346900
265,Fresno,California,Pacific,-0.81,2019,Arts and Culture,0,Health and Support,181346900
266,Fresno,California,Pacific,-0.8,2020,Police,184783400,Carceral,204757300
267,Fresno,California,Pacific,-0.8,2020,Courts,0,Carceral,204757300
268,Fresno,California,Pacific,-0.8,2020,Public Defenders,0,Carceral,204757300
269,Fresno,California,Pacific,-0.8,2020,Prosecutors,0,Carceral,204757300
270,Fresno,California,Pacific,-0.8,2020,Community Supervision ,0,Carceral,204757300
271,Fresno,California,Pacific,-0.8,2020,Sheriff,0,Carceral,204757300
272,Fresno,California,Pacific,-0.8,2020,Corrections,0,Carceral,204757300
273,Fresno,California,Pacific,-0.8,2020,HHS,0,Health and Support,204757300
274,Fresno,California,Pacific,-0.8,2020,Public Health,0,Health and Support,204757300
275,Fresno,California,Pacific,-0.8,2020,Parks & Rec,19973900,Health and Support,204757300
276,Fresno,California,Pacific,-0.8,2020,Housing,0,Health and Support,204757300
277,Fresno,California,Pacific,-0.8,2020,Employment,0,Health and Support,204757300
278,Fresno,California,Pacific,-0.8,2020,Civic and Community Engagement,0,Health and Support,204757300
279,Fresno,California,Pacific,-0.8,2020,Arts and Culture,0,Health and Support,204757300
280,Long Beach,California,Pacific,-0.68,2017,Police,200174185,Carceral,244070320
281,Long Beach,California,Pacific,-0.68,2017,Courts,0,Carceral,244070320
282,Long Beach,California,Pacific,-0.68,2017,Public Defenders,0,Carceral,244070320
283,Long Beach,California,Pacific,-0.68,2017,Prosecutors,5084604,Carceral,244070320
284,Long Beach,California,Pacific,-0.68,2017,Community Supervision ,0,Carceral,244070320
285,Long Beach,California,Pacific,-0.68,2017,Sheriff,0,Carceral,244070320
286,Long Beach,California,Pacific,-0.68,2017,Corrections,0,Carceral,244070320
287,Long Beach,California,Pacific,-0.68,2017,HHS,1748330,Health and Support,244070320
288,Long Beach,California,Pacific,-0.68,2017,Public Health,0,Health and Support,244070320
289,Long Beach,California,Pacific,-0.68,2017,Parks & Rec,32948754,Health and Support,244070320
290,Long Beach,California,Pacific,-0.68,2017,Housing,0,Health and Support,244070320
291,Long Beach,California,Pacific,-0.68,2017,Employment,3787242,Health and Support,244070320
292,Long Beach,California,Pacific,-0.68,2017,Civic and Community Engagement,327205,Health and Support,244070320
293,Long Beach,California,Pacific,-0.68,2017,Arts and Culture,0,Health and Support,244070320
294,Long Beach,California,Pacific,-0.69,2018,Police,222593463,Carceral,269399641
295,Long Beach,California,Pacific,-0.69,2018,Courts,0,Carceral,269399641
296,Long Beach,California,Pacific,-0.69,2018,Public Defenders,0,Carceral,269399641
297,Long Beach,California,Pacific,-0.69,2018,Prosecutors,5461638,Carceral,269399641
298,Long Beach,California,Pacific,-0.69,2018,Community Supervision ,0,Carceral,269399641
299,Long Beach,California,Pacific,-0.69,2018,Sheriff,0,Carceral,269399641
300,Long Beach,California,Pacific,-0.69,2018,Corrections,0,Carceral,269399641
301,Long Beach,California,Pacific,-0.69,2018,HHS,3020051,Health and Support,269399641
302,Long Beach,California,Pacific,-0.69,2018,Public Health,0,Health and Support,269399641
303,Long Beach,California,Pacific,-0.69,2018,Parks & Rec,33792878,Health and Support,269399641
304,Long Beach,California,Pacific,-0.69,2018,Housing,0,Health and Support,269399641
305,Long Beach,California,Pacific,-0.69,2018,Employment,4332886,Health and Support,269399641
306,Long Beach,California,Pacific,-0.69,2018,Civic and Community Engagement,198725,Health and Support,269399641
307,Long Beach,California,Pacific,-0.69,2018,Arts and Culture,0,Health and Support,269399641
308,Long Beach,California,Pacific,-0.72,2019,Police,239576627,Carceral,284967668
309,Long Beach,California,Pacific,-0.72,2019,Courts,0,Carceral,284967668
310,Long Beach,California,Pacific,-0.72,2019,Public Defenders,0,Carceral,284967668
311,Long Beach,California,Pacific,-0.72,2019,Prosecutors,6159022,Carceral,284967668
312,Long Beach,California,Pacific,-0.72,2019,Community Supervision ,0,Carceral,284967668
313,Long Beach,California,Pacific,-0.72,2019,Sheriff,0,Carceral,284967668
314,Long Beach,California,Pacific,-0.72,2019,Corrections,0,Carceral,284967668
315,Long Beach,California,Pacific,-0.72,2019,HHS,2839365,Health and Support,284967668
316,Long Beach,California,Pacific,-0.72,2019,Public Health,0,Health and Support,284967668
317,Long Beach,California,Pacific,-0.72,2019,Parks & Rec,32683985,Health and Support,284967668
318,Long Beach,California,Pacific,-0.72,2019,Housing,0,Health and Support,284967668
319,Long Beach,California,Pacific,-0.72,2019,Employment,3452599,Health and Support,284967668
320,Long Beach,California,Pacific,-0.72,2019,Civic and Community Engagement,114554,Health and Support,284967668
321,Long Beach,California,Pacific,-0.72,2019,Arts and Culture,141516,Health and Support,284967668
322,Long Beach,California,Pacific,-0.73,2020,Police,244183486,Carceral,289266067
323,Long Beach,California,Pacific,-0.73,2020,Courts,0,Carceral,289266067
324,Long Beach,California,Pacific,-0.73,2020,Public Defenders,0,Carceral,289266067
325,Long Beach,California,Pacific,-0.73,2020,Prosecutors,5988877,Carceral,289266067
326,Long Beach,California,Pacific,-0.73,2020,Community Supervision ,0,Carceral,289266067
